Director Name,Company Name,CIN,Designation,Appointment Date,Cessation
Other Directoships of PURAV JAIN,TATA ELECTRONICS SYSTEMS SOLUTIONS PRIVATE LIMITED,U32308KA2018FTC110176,Company Secretary,2024-03-18,Ongoing
Other Directoships of PURAV JAIN,TALETTUTAYI SOLAR PROJECTS SIX PRIVATE LIMITED,U40106DL2013FTC248850,Company Secretary,2019-04-23,Ongoing
Other Directoships of PURAV JAIN,SOLARARISE INDIA PROJECTS PRIVATE LIMITED,U40106DL2014PTC272104,Company Secretary,2019-04-23,Ongoing
Other Directoships of PURAV JAIN,TALETTUTAYI SOLAR PROJECTS PRIVATE LIMITED,U74999HR2014PTC053491,Company Secretary,2019-04-23,Ongoing
Other Directoships of PURAV JAIN,TALETTUTAYI SOLAR PROJECTS TWO PRIVATE LIMITED,U74999HR2015PTC055303,Company Secretary,2019-04-23,Ongoing
Other Directoships of PURAV JAIN,TALETTUTAYI SOLAR PROJECTS FOUR PRIVATE LIMITED,U74999HR2015PTC056110,Company Secretary,2019-04-23,Ongoing
Other Directoships of PURAV JAIN,TALETTUTAYI SOLAR PROJECTS FIVE PRIVATE LIMITED,U74999HR2016PTC064918,Company Secretary,2021-01-13,Ongoing
Other Directoships of ANIL NAYAR,SOLARARISE SERVICES LLP,AAC-9897,Designated Partner,2014-11-28,Ongoing
Other Directoships of ANIL NAYAR,THOMASLLOYD ENERGY IMPACT DEVELOPMENT INDIA PRIVATE LIMITED,U35105DL2023FTC410713,Director,2023-03-04,Ongoing
Other Directoships of ANIL NAYAR,SOLARARISE RENEWABLE PROJECTS PRIVATE LIMITED,U35105HR2024PTC118716,Director,2024-02-09,Ongoing
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY GUJARAT SOLAR THERMAL PRIVATE LIMITED,U37100HR2010PTC040378,Additional Director,2010-05-24,2011-09-28
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY GUJARAT SOLAR THERMAL PRIVATE LIMITED,U37100HR2010PTC040378,Director,2011-09-28,2014-03-31
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY POWER PROJECT PRIVATE LIMITED,U40100DL2010PTC223562,Director,2010-06-02,2014-03-31
Other Directoships of ANIL NAYAR,TALETTUTAYI SOLAR PROJECTS SIX PRIVATE LIMITED,U40106DL2013FTC248850,Additional Director,2018-03-13,2018-09-14
Other Directoships of ANIL NAYAR,TALETTUTAYI SOLAR PROJECTS SIX PRIVATE LIMITED,U40106DL2013FTC248850,Director,2018-09-14,Ongoing
